"metai";"išsilavinimas";"rasė";"lytis";"darbo valandos";"uždarbis"
39;" Bachelors";" White";" Male";" 40";" <=50K"
50;" Bachelors";" White";" Male";" 13";" <=50K"
38;" HS-grad";" White";" Male";" 40";" <=50K"
53;" 11th";" Black";" Male";" 40";" <=50K"
28;" Bachelors";" Black";" Female";" 40";" <=50K"
37;" Masters";" White";" Female";" 40";" <=50K"
49;" 9th";" Black";" Female";" 16";" <=50K"
52;" HS-grad";" White";" Male";" 45";" >50K"
31;" Masters";" White";" Female";" 50";" >50K"
42;" Bachelors";" White";" Male";" 40";" >50K"
