"a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14"
1,2,4,4,0,0,1,2,"22.08","11.46",1585,0,100,1213
0,2,8,4,0,0,0,2,"22.67",7,165,0,160,1
0,1,4,4,0,0,1,2,"29.58","1.75","1.25",0,280,1
0,1,5,3,1,1,1,2,"21.67","11.5",0,11,0,1
1,2,6,4,1,1,0,2,"20.17","8.17","1.96",14,60,159
0,2,8,8,1,1,0,2,"15.83",585,"1.5",2,100,1
1,2,3,4,0,0,0,2,"17.42","6.5",125,0,60,101
0,2,11,8,1,1,0,2,"58.67","4.46","3.04",6,43,561
1,1,2,8,0,0,0,2,"27.83",1,3,0,176,538
0,2,4,8,1,1,1,2,"55.75","7.08","6.75",3,100,51
1,2,14,8,1,1,1,2,"33.5","1.75","4.5",4,253,858
1,2,11,8,1,1,1,2,"41.42",5,5,6,470,1
1,1,8,8,1,1,1,2,"20.67","1.25",1375,3,140,211
1,2,14,8,1,1,1,2,"34.92",5,"7.5",6,0,1001
1,2,8,4,0,0,1,2,"58.58","2.71",2415,0,320,1
1,2,4,4,0,0,0,2,"48.08","6.04","0.04",0,0,2691
1,2,9,4,1,1,1,2,"29.58","4.5","7.5",2,330,1
0,2,6,4,1,1,0,2,"18.92",9,"0.75",2,88,592
1,1,4,4,0,0,0,2,20,"1.25",125,0,140,5
0,2,11,4,1,1,0,2,"22.42",5665,2585,7,129,3258
0,2,6,4,0,0,0,2,"28.17",585,"0.04",0,260,1005
0,1,6,4,1,0,1,2,"19.17",585,585,0,160,1
1,2,2,4,0,0,0,2,"41.17",1335,165,0,168,1
1,2,4,4,1,0,0,2,"41.58","1.75","0.21",0,160,1
1,2,6,4,0,0,0,2,"19.5",9585,"0.79",0,80,351
1,2,13,8,1,1,1,2,"32.75","1.5","5.5",3,0,1
1,1,4,4,0,0,0,2,"22.5",125,125,0,200,71
1,1,8,8,1,1,1,2,"33.17","3.04","2.04",1,180,18028
0,2,8,4,1,1,0,2,"30.67",12,2,1,220,20
1,2,8,4,1,1,1,2,"23.08","2.5",1085,11,60,2185
1,2,8,8,1,1,1,2,27,"0.75","4.25",3,312,151
0,1,14,8,0,0,1,2,"20.42","10.5",0,0,154,33
1,1,8,8,1,0,1,2,"52.33",1375,9460,0,200,101
