a1,a2,a3,a4,a5,a6,a7,a8,a9
2,3,1,1,2,3,0,24,3
1,3,1,1,3,4,0,45,10
2,3,1,1,3,4,0,43,7
3,2,1,1,3,3,0,42,9
3,3,1,1,3,2,0,36,8
4,4,1,1,3,3,0,19,0
2,3,1,1,3,2,0,38,6
3,3,1,0,3,2,0,21,1
2,3,1,1,3,4,0,27,3
1,1,1,1,2,2,1,45,8
1,3,1,0,3,3,1,38,2
1,4,1,1,1,3,0,42,4
4,4,1,0,1,4,0,44,1
2,4,1,0,3,3,0,42,1
3,4,1,1,2,3,0,38,2
2,4,1,1,4,1,0,26,0
1,1,1,1,2,4,0,48,7
2,2,1,1,2,4,0,39,6
2,2,1,1,2,3,0,37,8
2,1,1,1,2,1,1,39,5
3,4,1,0,4,1,0,26,1
3,4,1,0,3,1,0,24,0
4,4,0,1,1,4,0,46,1
4,4,1,1,1,4,0,39,1
4,4,1,1,1,4,0,48,5
2,4,1,1,3,3,0,40,8
4,4,1,0,1,4,0,38,1
4,4,1,0,1,4,0,29,0
4,4,1,0,2,2,0,24,0
1,2,1,1,2,4,0,43,8
3,4,1,1,1,4,0,31,2
4,4,1,1,3,2,0,31,2
2,4,1,0,1,2,0,26,0
2,2,1,1,3,1,0,33,2
2,3,1,1,3,3,0,24,1
1,3,1,1,3,2,1,42,9
1,2,1,0,3,1,0,43,8
3,3,1,1,3,2,0,25,4
2,2,1,1,3,4,0,42,3
2,2,1,1,2,4,0,28,1
1,1,1,1,3,1,0,28,3
2,3,1,0,1,3,0,47,0
2,4,1,1,1,3,0,48,2
4,4,0,1,1,4,0,40,2
2,2,1,1,3,2,0,28,1
1,4,1,1,2,1,0,25,1
4,4,1,1,2,3,0,32,2
4,4,1,1,2,4,0,45,0
4,4,1,1,1,4,0,26,1
4,4,1,0,1,4,0,26,0
4,4,1,0,1,4,0,31,0
4,4,0,1,2,4,0,49,7
3,4,1,1,3,3,0,40,8
4,4,0,0,2,3,0,34,1
2,4,1,1,2,3,0,36,5
2,2,1,1,2,2,1,20,2
4,4,1,0,1,4,0,43,5
3,4,1,1,2,1,0,37,7
2,3,1,1,3,4,0,21,0
4,4,1,1,1,2,0,49,6
3,3,1,1,3,3,0,42,10
2,3,1,1,2,3,0,20,1
1,2,1,0,1,3,0,47,2
2,3,1,1,2,1,0,22,1
2,4,1,0,1,3,0,27,1
2,4,1,1,3,1,0,24,1
4,2,1,1,3,3,0,44,8
2,3,1,1,3,1,0,30,3
3,4,1,1,3,4,0,23,2
4,4,1,0,3,3,0,25,1
2,3,1,1,2,3,0,47,4
2,3,1,1,1,4,0,48,8
2,3,1,1,1,1,0,29,1
2,3,1,1,1,2,0,29,1
3,4,1,1,2,3,0,21,0
3,4,1,1,2,3,0,21,1
4,4,1,0,2,4,0,29,0
3,4,1,1,1,4,0,45,3
2,3,1,1,3,2,0,33,2
4,4,1,0,1,4,0,38,1
4,4,0,1,1,4,0,24,0
4,4,0,0,1,4,0,49,6
2,4,1,0,4,4,0,24,1
4,4,0,0,1,4,0,28,0
4,4,1,1,1,4,0,30,2
4,4,1,1,1,4,0,33,2
4,4,1,1,1,3,0,25,1
4,4,0,1,1,4,0,35,3
2,4,1,1,1,4,0,27,4
2,2,1,0,2,1,0,24,3
